   429.03	   763.20	J2
   425.08	   558.50	R29
   423.68	   585.48	Q3
   420.20	   585.48	8050
   418.11	   558.50	10K
   418.11	   710.39	²Ì=0+Ø}5ÈPCB:,´0
   414.86	    14.65	VBUSjUSBk+e$ÀEÃÈÐ2Ç4*6
   414.86	   439.87	QMI8658A
   413.46	   575.94	R30
   409.98	   575.94	100K
   409.75	    14.65	VMIDN´AÑÝ0È
   407.89	   538.03	EPD_VCC_AXP
   406.26	   173.76	VBUS
   406.26	   193.07	UP1
   404.64	    14.65	VSYSjE
   403.01	   143.75	C25
   403.01	   155.85	10uF
   403.01	   187.48	37
   403.01	   264.01	VSYS
   401.15	   104.21	GND
   401.15	   195.63	VBUS
   401.15	   502.21	VCC3V3
   399.53	    14.65	SWÈ¯+XVBUSË+e&È³5
   399.53	   167.01	VMID
   399.53	   253.78	23
   399.53	   278.20	C26
   399.53	   290.07	2.2uF
   397.90	   241.68	VIN1
   397.90	   331.70	GND
   396.04	   143.75	C27
   396.04	   155.85	10uF
   396.04	   187.48	36
   396.04	   450.10	U2
   396.04	   473.83	QMI8658A
   394.42	   104.21	GND
   394.42	   195.63	VMID
   394.42	   278.20	L2
   392.79	   253.78	22
   390.93	   142.13	R14
   390.93	   157.48	NC/0.01R-1%-0603
   390.93	   243.08	LX1
   390.93	   328.21	VCC3V3
   390.93	   740.87	e-Pap
   390.93	   767.81	er
   389.31	    14.65	VBAT+e"un+eÕ
   389.31	   278.20	1uH/3.5A
   389.31	   417.77	GND
   389.31	   445.91	1
   389.31	   493.60	2
   387.68	   452.43	SDO/SAO
   387.68	   483.13	SDx
   387.68	   581.06	GND
   385.82	   187.48	34
   385.82	   253.78	21
   385.82	   302.16	C28
   385.82	   314.02	22uF
   385.82	   417.77	AXIS_SDA
   385.82	   444.29	14
   385.82	   493.60	3
   384.20	   106.30	VSYS
   384.20	   195.63	VSYS
   384.20	   243.31	FB1
   384.20	   331.70	GND
   384.20	   452.43	SDA
   384.20	   483.13	SCx
   382.57	   417.77	AXSI_SCL
   382.57	   444.29	13
   380.72	   452.43	SCL
   379.09	   120.03	C29
   379.09	   131.89	100nFR15
   379.09	   157.48	0.01R-1%-0603/NC
   379.09	   417.77	VCC3V3
   379.09	   444.29	12
   379.09	   493.60	10
   377.46	   104.21	GND
   377.46	   452.43	CS
   377.46	   484.30	NC
   375.84	   253.78	20
   375.84	   417.77	INT1
   375.84	   445.91	4
   375.84	   493.60	11
   373.98	   227.26	DLDO1/DC1SW
   373.98	   452.43	INT1
   373.98	   484.30	NC
   372.35	   120.03	C32
   372.35	   131.89	22uFR16
   372.35	   157.48	NC/0R
   372.35	   187.48	32
   372.35	   417.77	AXIS_INT2
   372.35	   445.91	9
   372.35	   468.01	O
   370.73	   104.21	GND
   370.73	   195.63	GPIO1
   370.73	   452.43	INT2
   370.73	   468.01	I
   368.87	   293.55	AXP_SDA
   368.87	   315.65	ESP_I2C_SDA
   368.87	   464.76	DDDD
   365.62	   293.55	AXP_SCL
   365.62	   315.65	ESP_I2C_SCL
   365.62	   464.76	DDNN
   363.76	   145.61	L4
   363.76	   464.76	VVGG
   362.13	   120.03	C34
   362.13	   131.89	22uF
   362.13	   187.48	35
   362.13	   264.01	VSYS
   360.51	   104.21	GND
   360.51	   195.63	SW
   358.88	    34.89	Pow
   358.88	    55.10	er
   358.88	   140.50	2.2uH 2.5*2*1.2  3A
   358.88	   253.78	24
   358.88	   293.55	PWROKR18
   358.88	   325.89	NCESP_RESET
   358.88	   592.92	aveshare
   358.19	   210.28	AXP2101
   358.19	   241.68	VIN2
   358.19	   462.90	8567
   358.19	   579.43	W
   355.40	   686.43	LSK1
   355.40	   705.28	LSK2
   355.40	   725.75	LSK3
   355.40	   742.73	LSK4
   351.92	   173.76	VBAT
   351.92	   253.78	25
   351.92	   293.55	CHGLEDR4
   351.92	   325.89	0RESP_CHG
   350.29	   243.08	LX2
   348.66	   143.75	C36
   348.66	   155.85	2.2uF
   348.66	   187.48	33
   346.81	   104.21	GND
   346.81	   195.63	BAT
   345.18	   253.78	26
   345.18	   293.55	AXP_IRQR8
   345.18	   325.89	0RPWR_IRQ
   344.25	   560.59	ESP32-S3 e-Paper-3.97
   343.55	   243.31	FB2
   341.70	   142.13	R19
   341.70	   155.85	'+eLkNTC 10K
   341.70	   187.48	31
   340.07	   104.21	GND
   340.07	   195.63	TS
   340.07	   461.27	VCC3V3
   334.96	   169.34	CHGLED1
   333.10	     8.37	B
   333.10	   195.63	CHGLED
   333.10	   805.30	B
   331.48	   421.03	INT1
   331.48	   456.85	AXIS_INT1
   329.85	   346.36	H3
   328.22	    31.64	RTC_INT_ESP
   328.22	   143.75	C41
   328.22	   155.85	2.2uF
   328.22	   188.88	2
   328.22	   436.38	R9
   328.22	   450.10	NC
   326.37	   104.21	GND
   326.37	   195.63	VREF
   326.37	   341.94	1
   324.74	   264.01	VSYS
   324.74	   320.54	VBAT
   324.74	   348.68	1
   323.12	   173.99	VSYS
   323.12	   341.94	2
